Nombre,NRC,Periodo
8820-2020-202542-51588,51588,202542
5568-0072-202542-51589,51589,202542
6611-2024-202542-51590,51590,202542
8821-2009-202542-51591,51591,202542
6611-2025-202542-51592,51592,202542
5557-0044-202542-51593,51593,202542
6069-2026-202542-LM,LM,202542
8827-2011-202542-51608,51608,202542
8827-2009-202542-51607,51607,202542
8827-2010-202542-51606,51606,202542
8827-2012-202542-51609,51609,202542
5568-0074-202542-51599,51599,202542
5568-0073-202542-50754,50754,202542
8827-2015-202542-51611,51611,202542
8827-2014-202542-51612,51612,202542
5559-2006-202542-51613,51613,202542
8827-2022-202542-51614,51614,202542
6069-2024-202542-51595,51595,202542
6069-2025-202542-51596,51596,202542
6069-2023-202542-51598,51598,202542
6069-2022-202542-51597,51597,202542
6069-2029-202542-51600,51600,202542
6069-2027-202542-51601,51601,202542
8827-2000-202542-51603,51603,202542
6069-2030-202542-52332,52332,202542
6069-2028-202542-51602,51602,202542
5557-0044-202542-51629,51629,202542
6069-2124-202542-51630,51630,202542
CEGF-0046-202542-51643,51643,202542
6069-2125-202542-51631,51631,202542
8830-2003-202542-51633,51633,202542
CEOE-0321-202542-51634,51634,202542
5559-2162-202542-51637,51637,202542
8821-2013-202542-51635,51635,202542
5568-0073-202542-50755,50755,202542
5568-2001-202542-52223,52223,202542
5568-2000-202542-52224,52224,202542
5557-0044-202542-51956,51956,202542
6611-2003-202542-52286,52286,202542
6611-2020V-202542-51031,51031,202542
6069-2000V-202542-51032,51032,202542
6069-2001V-202542-51033,51033,202542
3313-2001V-202542-51036,51036,202542
6069-2003V-202542-51035,51035,202542
6069-2002V-202542-51034,51034,202542
6069-2004V-202542-51037,51037,202542
6069-2005V-202542-51038,51038,202542
6069-2006V-202542-51039,51039,202542
5568-0073-202542-52615,52615,202542
6069-2007V-202542-51040,51040,202542
6069-2042-202542-52623,52623,202542
6069-2187-202542-52676,52676,202542
5557-0044-202542-50968,50968,202542
6069-2153-202542-50970,50970,202542
6069-2154-202542-52475,52475,202542
6069-2047-202542-50990,50990,202542
6611-2002-202542-50991,50991,202542
6069-2035-202542-53360,53360,202542
6069-2046-202542-50992,50992,202542
6069-2034-202542-50993,50993,202542
6069-2005-202542-50994,50994,202542
6611-2035V-202542-52505,52505,202542
6069-2033-202542-50976,50976,202542
6069-2048-202542-50979,50979,202542
6069-2004-202542-50981,50981,202542
6069-2114-202542-50980,50980,202542
6069-2112-202542-50978,50978,202542
5557-0044-202542-50996,50996,202542
3313-2115V-202542-53284,53284,202542
3313-2115V-202542-53285,53285,202542
3313-2115V-202542-53286,53286,202542
3313-2115V-202542-53287,53287,202542
3313-2115V-202542-53288,53288,202542
3313-2115V-202542-53290,53290,202542
3313-2115V-202542-53291,53291,202542
3313-2115V-202542-53292,53292,202542
3313-2115V-202542-51003,51003,202542
3313-2115V-202542-53336,53336,202542
3313-2115V-202542-53337,53337,202542
3313-2115V-202542-53338,53338,202542
3313-2115V-202542-53289,53289,202542
3313-2115V-202542-53293,53293,202542
3313-2115V-202542-53223,53223,202542
